,Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin,Size_ml,Price_per_ml,Popularity_Score,Usage_Encoded,Segment,Combined_Features
0,Ultra Face Mask,Drunk Elephant,Blush,Weekly,67.85,1.4,686,30Ml,Sensitive,Female,Tube,Retinol,False,Australia,30.0,2.2616666666666663,9.145268009111287,3,2,Blush Retinol Sensitive Tube
1,Ultra Lipstick,Laura Mercier,Makeup Remover,Occasional,116.43,4.2,5483,250Ml,Dry,Unisex,Bottle,Shea Butter,False,Uk,250.0,0.46572,36.16027817086526,2,3,Makeup Remover Shea Butter Dry Bottle
2,Ultra Serum,Natasha Denona,Highlighter,Daily,90.84,1.6,5039,100Ml,Sensitive,Male,Compact,Aloe Vera,True,Italy,100.0,0.9084,13.640258177704665,0,1,Highlighter Aloe Vera Sensitive Compact
3,Divine Serum,Ilia Beauty,Face Mask,Occasional,55.17,3.2,6202,250Ml,Normal,Male,Tube,Glycerin,True,South Korea,250.0,0.22068000000000002,27.94492263991398,2,3,Face Mask Glycerin Normal Tube
4,Super Foundation,Charlotte Tilbury,Highlighter,Occasional,140.56,1.7,297,100Ml,Oily,Female,Compact,Glycerin,False,Germany,100.0,1.4056,9.685058927059188,2,1,Highlighter Glycerin Oily Compact
5,Super Eye Shadow,Danessa Myricks,Foundation,Weekly,135.82,3.2,9405,150Ml,Sensitive,Female,Compact,Glycerin,True,Uk,150.0,0.9054666666666666,29.27712980001598,3,3,Foundation Glycerin Sensitive Compact
6,Super Lip Gloss,Bourjois,Powder,Monthly,148.99,2.5,2423,250Ml,Normal,Female,Jar,Hyaluronic Acid,True,Germany,250.0,0.59596,19.482935867973012,1,1,Powder Hyaluronic Acid Normal Jar
7,Ultra Cleanser,Bourjois,Lip Gloss,Daily,21.43,4.3,8032,200Ml,Sensitive,Male,Bottle,Vitamin C,True,Italy,200.0,0.10715,38.66264734554739,0,3,Lip Gloss Vitamin C Sensitive Bottle
8,Magic Highlighter,It Cosmetics,Cc Cream,Occasional,113.09,3.3,2468,200Ml,Combination,Unisex,Compact,Vitamin C,True,Germany,200.0,0.56545,25.77817601483909,2,0,Cc Cream Vitamin C Combination Compact
9,Perfect Bronzer,Fenty Beauty,Face Mask,Weekly,133.57,4.4,4127,150Ml,Dry,Female,Compact,Hyaluronic Acid,False,Japan,150.0,0.8904666666666666,36.63241255151016,3,0,Face Mask Hyaluronic Acid Dry Compact
10,Ultra Moisturizer,Sisley,Powder,Weekly,104.91,4.0,8876,100Ml,Combination,Female,Bottle,Retinol,True,Uk,100.0,1.0491,36.36487576427328,3,3,Powder Retinol Combination Bottle
11,Divine Cc Cream,Juvia’S Place,Eye Shadow,Daily,101.88,4.7,7196,50Ml,Oily,Male,Bottle,Retinol,False,Italy,50.0,2.0376,41.74267189208668,0,3,Eye Shadow Retinol Oily Bottle
12,Ultra Setting Spray,Nars,Concealer,Occasional,34.2,1.9,4799,150Ml,Oily,Unisex,Bottle,Vitamin C,False,Australia,150.0,0.228,16.105105274102367,2,2,Concealer Vitamin C Oily Bottle
13,Divine Primer,Colourpop,Eyeliner,Occasional,96.0,2.2,3557,150Ml,Normal,Male,Spray,Salicylic Acid,True,Germany,150.0,0.64,17.989298510096717,2,1,Eyeliner Salicylic Acid Normal Spray
14,Divine Exfoliator,Huda Beauty,Lipstick,Monthly,26.21,4.9,4167,200Ml,Sensitive,Unisex,Bottle,Shea Butter,True,Usa,200.0,0.13105,40.842438758822695,1,0,Lipstick Shea Butter Sensitive Bottle
15,Perfect Blush,Tatcha,Setting Spray,Daily,104.06,3.2,2802,250Ml,Dry,Unisex,Compact,Shea Butter,False,Uk,250.0,0.41624,25.403025763727324,0,0,Setting Spray Shea Butter Dry Compact
16,Perfect Highlighter,Kiehl’S,Cleanser,Occasional,131.95,4.0,4860,150Ml,Combination,Female,Stick,Salicylic Acid,False,Usa,150.0,0.8796666666666666,33.95599782818182,2,0,Cleanser Salicylic Acid Combination Stick
17,Super Cleanser,Huda Beauty,Bronzer,Monthly,90.45,1.5,9690,150Ml,Sensitive,Unisex,Tube,Salicylic Acid,True,South Korea,150.0,0.603,13.768429348101826,1,1,Bronzer Salicylic Acid Sensitive Tube
18,Ultra Face Oil,Tarte,Primer,Weekly,65.13,2.9,2612,250Ml,Sensitive,Male,Bottle,Hyaluronic Acid,False,Australia,250.0,0.26052,22.817937370009776,3,0,Primer Hyaluronic Acid Sensitive Bottle
19,Divine Lip Gloss,Glossier,Face Oil,Occasional,55.14,3.8,9593,150Ml,Sensitive,Male,Stick,Salicylic Acid,False,France,150.0,0.3676,34.84179409183563,2,3,Face Oil Salicylic Acid Sensitive Stick
20,Perfect Blush,Make Up For Ever,Contour,Monthly,35.33,3.4,4230,150Ml,Normal,Unisex,Jar,Salicylic Acid,False,South Korea,150.0,0.23553333333333332,28.39065841244823,1,2,Contour Salicylic Acid Normal Jar
21,Divine Foundation,Anastasia Beverly Hills,Mascara,Daily,145.37,2.3,6045,50Ml,Combination,Male,Jar,Retinol,True,France,50.0,2.9074,20.02645000328063,0,1,Mascara Retinol Combination Jar
22,Divine Cleanser,Fenty Beauty,Face Mask,Monthly,119.26,4.6,9425,100Ml,Sensitive,Male,Compact,Hyaluronic Acid,False,Japan,100.0,1.1926,42.095644694424905,1,3,Face Mask Hyaluronic Acid Sensitive Compact
23,Perfect Eyeliner,E.L.F.,Makeup Remover,Occasional,148.69,3.7,59,150Ml,Combination,Unisex,Jar,Retinol,True,Australia,150.0,0.9912666666666666,15.149074880221772,2,0,Makeup Remover Retinol Combination Jar
24,Super Serum,Hourglass,Foundation,Weekly,96.3,3.2,7512,250Ml,Normal,Male,Jar,Shea Butter,True,Australia,250.0,0.3852,28.55804842358131,3,3,Foundation Shea Butter Normal Jar
25,Divine Setting Spray,Pat Mcgrath Labs,Highlighter,Daily,105.54,4.9,1098,150Ml,Dry,Female,Spray,Glycerin,False,Japan,150.0,0.7036,34.31056417657775,0,0,Highlighter Glycerin Dry Spray
26,Magic Eye Shadow,Laura Mercier,Contour,Occasional,34.06,3.0,4490,50Ml,Oily,Unisex,Stick,Vitamin C,False,Japan,50.0,0.6812,25.229492019263212,2,2,Contour Vitamin C Oily Stick
27,Ultra Exfoliator,Too Faced,Bronzer,Monthly,62.56,2.3,3254,30Ml,Combination,Female,Bottle,Retinol,False,France,30.0,2.0853333333333333,18.602279375678137,1,2,Bronzer Retinol Combination Bottle
28,Magic Lip Liner,Perricone Md,Lip Gloss,Daily,120.23,1.6,3813,50Ml,Oily,Male,Compact,Vitamin C,False,Germany,50.0,2.4046000000000003,13.194294057856585,0,1,Lip Gloss Vitamin C Oily Compact
29,Super Makeup Remover,Rms Beauty,Eyeliner,Monthly,62.98,3.3,1926,200Ml,Dry,Female,Spray,Glycerin,True,Uk,200.0,0.31489999999999996,24.960274905767406,1,0,Eyeliner Glycerin Dry Spray
30,Perfect Bb Cream,Sisley,Powder,Weekly,74.95,1.9,1270,250Ml,Dry,Unisex,Stick,Salicylic Acid,True,France,250.0,0.2998,13.580362615259963,3,2,Powder Salicylic Acid Dry Stick
31,Magic Bb Cream,Juvia’S Place,Highlighter,Occasional,46.66,4.6,5398,200Ml,Sensitive,Male,Spray,Glycerin,False,Italy,200.0,0.23329999999999998,39.532257539004114,2,3,Highlighter Glycerin Sensitive Spray
32,Super Lip Liner,Colourpop,Powder,Monthly,27.45,1.2,9692,50Ml,Oily,Female,Bottle,Glycerin,True,Australia,50.0,0.5489999999999999,11.01499110539113,1,2,Powder Glycerin Oily Bottle
33,Ultra Lip Gloss,Urban Decay,Eye Shadow,Daily,134.54,1.0,4973,100Ml,Dry,Female,Spray,Hyaluronic Acid,False,France,100.0,1.3454,8.51197962436335,0,1,Eye Shadow Hyaluronic Acid Dry Spray
34,Super Primer,Rare Beauty,Highlighter,Weekly,111.7,1.7,9892,150Ml,Combination,Unisex,Compact,Retinol,True,Usa,150.0,0.7446666666666667,15.639290616049477,3,1,Highlighter Retinol Combination Compact
35,Super Cleanser,Fenty Beauty,Makeup Remover,Monthly,148.76,2.3,4487,30Ml,Sensitive,Unisex,Spray,Vitamin C,False,Usa,30.0,4.958666666666667,19.341073628565823,1,1,Makeup Remover Vitamin C Sensitive Spray
36,Divine Eyeliner,Fenty Beauty,Eye Shadow,Occasional,74.51,4.6,4884,30Ml,Oily,Male,Stick,Glycerin,False,South Korea,30.0,2.4836666666666667,39.072052996593655,2,0,Eye Shadow Glycerin Oily Stick
37,Super Contour,Becca,Cleanser,Monthly,63.79,2.0,7155,30Ml,Dry,Female,Jar,Vitamin C,True,France,30.0,2.126333333333333,17.75141288925722,1,2,Cleanser Vitamin C Dry Jar
38,Perfect Eyeliner,Patrick Ta,Bronzer,Daily,135.46,4.0,5148,250Ml,Dry,Female,Bottle,Shea Butter,False,Usa,250.0,0.54184,34.186231200184565,0,0,Bronzer Shea Butter Dry Bottle
39,Divine Cleanser,Shiseido,Powder,Weekly,74.45,4.0,69,30Ml,Oily,Female,Spray,Shea Butter,False,Australia,30.0,2.481666666666667,16.993980968197437,3,0,Powder Shea Butter Oily Spray
40,Super Foundation,Rare Beauty,Concealer,Monthly,25.46,2.8,6843,150Ml,Dry,Male,Compact,Hyaluronic Acid,False,South Korea,150.0,0.16973333333333335,24.727157378033834,1,2,Concealer Hyaluronic Acid Dry Compact
41,Magic Makeup Remover,Kylie Cosmetics,Mascara,Occasional,58.41,1.4,4149,200Ml,Oily,Unisex,Jar,Salicylic Acid,False,Uk,200.0,0.29205,11.663209058514642,2,2,Mascara Salicylic Acid Oily Jar
